%time n1 n3 n4
0 0 0 0
5e-06 0.02513271477 4.97283383728e-06 4.97283383728e-05
1e-05 0.0502652707882 1.8501971015e-05 0.00018501971015
1.5e-05 0.0753975093036 3.81495789393e-05 0.000381495789393
2e-05 0.100529271567 6.20775739447e-05 0.000620775739447
2.5e-05 0.125660398834 8.8903218228e-05 0.00088903218228
3e-05 0.15079073236 0.000117589363645 0.00117589363645
3.5e-05 0.175920113411 0.000147361034284 0.00147361034284
4e-05 0.201048383255 0.000177642031755 0.00177642031755
4.5e-05 0.226175383167 0.000208006761564 0.00208006761564
5e-05 0.251300954433 0.000238143630225 0.00238143630225
5.5e-05 0.276424938346 0.000267827238037 0.00267827238037
6e-05 0.301547176209 0.000296897257856 0.00296897257856
6.5e-05 0.326667509335 0.00032524239603 0.0032524239603
7e-05 0.351785779052 0.000352788216272 0.00352788216272
7.5e-05 0.376901826699 0.000379487899567 0.00379487899567
8e-05 0.40201549363 0.000405315235503 0.00405315235503
8.5e-05 0.427126621211 0.000430259309373 0.00430259309373
9e-05 0.452235050829 0.00045432047785 0.0045432047785
9.5e-05 0.477340623885 0.000477507323698 0.00477507323698
0.0001 0.502443181798 0.000499834354217 0.00499834354217
0.000105 0.527542566006 0.000521320264566 0.00521320264566
0.00011 0.552638617969 0.000541986630002 0.00541986630002
0.000115 0.577731179166 0.000561856923709 0.00561856923709
0.00012 0.602820091099 0.000580955781668 0.00580955781668
0.000125 0.627905195293 0.000599308454878 0.00599308454878
0.00013 0.652986333296 0.000616940403571 0.00616940403571
0.000135 0.678063346683 0.000633876998958 0.00633876998958
0.00014 0.703136077053 0.000650143306309 0.00650143306309
0.000145 0.728204366033 0.000665763929478 0.00665763929478
0.00015 0.753268055279 0.00068076290178 0.0068076290178
0.000155 0.778326986475 0.000695163611725 0.00695163611725
0.00016 0.803381001334 0.000708988754928 0.00708988754928
0.000165 0.828429941602 0.000722260305577 0.00722260305577
0.00017 0.853473649056 0.000734999502447 0.00734999502447
0.000175 0.878511965507 0.000747226845679 0.00747226845679
0.00018 0.903544732799 0.000758962101446 0.00758962101446
0.000185 0.928571792812 0.000770224312321 0.00770224312321
0.00019 0.95359298746 0.000781031811731 0.00781031811731
0.000195 0.978608158697 0.000791402241237 0.00791402241237
0.0002 1.00361714851 0.000801352569722 0.00801352569722
0.000205 1.02861979894 0.0008108991138 0.008108991138
0.00021 1.05361595204 0.000820057558896 0.00820057558896
0.000215 1.07860544993 0.000828842980643 0.00828842980643
0.00022 1.10358813476 0.000837269866297 0.00837269866297
0.000225 1.12856384873 0.000845352135949 0.00845352135949
0.00023 1.15353243408 0.000853103163414 0.00853103163414
0.000235 1.17849373309 0.000860535796663 0.00860535796663
0.00024 1.2034475881 0.000867662377733 0.00867662377733
0.000245 1.22839384147 0.000874494762076 0.00874494762076
0.00025 1.25333233564 0.000881044337302 0.00881044337302
0.000255 1.27826291309 0.000887322041312 0.00887322041312
0.00026 1.30318541633 0.000893338379802 0.00893338379802
0.000265 1.32809968794 0.000899103443155 0.00899103443155
0.00027 1.35300557055 0.000904626922717 0.00904626922717
0.000275 1.37790290685 0.000909918126467 0.00909918126467
0.00028 1.40279153956 0.000914985994103 0.00914985994103
0.000285 1.42767131147 0.000919839111553 0.00919839111553
0.00029 1.45254206544 0.000924485724932 0.00924485724932
0.000295 1.47740364437 0.000928933753958 0.00928933753958
0.0003 1.50225589121 0.000933190804846 0.00933190804846
0.000305 1.52709864898 0.000937264182706 0.00937264182706
0.00031 1.55193176077 0.000941160903447 0.00941160903447
0.000315 1.57675506972 0.000944887705221 0.00944887705221
0.00032 1.60156841902 0.000948451059417 0.00948451059417
0.000325 1.62637165195 0.000951857181216 0.00951857181216
0.00033 1.65116461183 0.000955112039741 0.00955112039741
0.000335 1.67594714206 0.000958221367792 0.00958221367792
0.00034 1.70071908609 0.000961190671212 0.00961190671212
0.000345 1.72548028746 0.000964025237871 0.00964025237871
0.00035 1.75023058975 0.000966730146301 0.00966730146301
0.000355 1.77496983664 0.000969310273987 0.00969310273987
0.00036 1.79969787186 0.000971770305332 0.00971770305332
0.000365 1.8244145392 0.000974114739306 0.00974114739306
0.00037 1.84911968255 0.00097634789679 0.0097634789679
0.000375 1.87381314586 0.000978473927632 0.00978473927632
0.00038 1.89849477314 0.000980496817425 0.00980496817425
0.000385 1.9231644085 0.000982420394009 0.00982420394009
0.00039 1.94782189611 0.000984248333729 0.00984248333729
0.000395 1.97246708021 0.00098598416743 0.0098598416743
0.0004 1.99709980514 0.000987631286224 0.00987631286224
0.000405 2.02171991531 0.00098919294703 0.0098919294703
0.00041 2.04632725519 0.000990672277884 0.00990672277884
0.000415 2.07092166936 0.000992072283054 0.00992072283054
0.00042 2.09550300246 0.000993395847934 0.00993395847934
0.000425 2.12007109922 0.000994645743765 0.00994645743765
0.00043 2.14462580446 0.00099582463215 0.0099582463215
0.000435 2.16916696308 0.000996935069402 0.00996935069402
0.00044 2.19369442007 0.000997979510715 0.00997979510715
0.000445 2.21820802048 0.000998960314173 0.00998960314173
0.00045 2.24270760949 0.000999879744595 0.00999879744595
0.000455 2.26719303234 0.00100073997723 0.0100073997723
0.00046 2.29166413437 0.00100154310132 0.0100154310132
0.000465 2.316120761 0.00100229112348 0.0100229112348
0.00047 2.34056275775 0.00100298597101 0.0100298597101
0.000475 2.36498997024 0.00100362949499 0.0100362949499
0.00048 2.38940224416 0.00100422347336 0.0100422347336
0.000485 2.41379942532 0.00100476961377 0.0100476961377
0.00049 2.43818135961 0.00100526955639 0.0100526955639
