%time sig_in sig_out
0 1 9.9890120867e-05
1e-06 1.00157079568 0.000249735848113
2e-06 1.00314158749 0.000499511372375
3e-06 1.00471237154 0.000849248848506
4e-06 1.00628314397 0.00129897040749
5e-06 1.00785390089 0.00184868816389
6e-06 1.00942463843 0.00249840422421
7e-06 1.01099535272 0.00324811069634
8e-06 1.01256603988 0.00409778969994
9e-06 1.01413669604 0.00504741337783
1e-05 1.01570731731 0.00609694390834
1.1e-05 1.01727789983 0.00724633351867
1.2e-05 1.01884843972 0.00849552449923
1.3e-05 1.02041893309 0.00984444921897
1.4e-05 1.02198937609 0.0112930301416
1.5e-05 1.02355976483 0.0128411798429
1.6e-05 1.02513009544 0.0144888010291
1.7e-05 1.02670036405 0.0162357865557
1.8e-05 1.02827056677 0.018082019448
1.9e-05 1.02984069974 0.0200273729221
2e-05 1.03141075908 0.0220717104069
2.1e-05 1.03298074091 0.0242148855674
2.2e-05 1.03455064137 0.0264567423284
2.3e-05 1.03612045658 0.0287971148996
2.4e-05 1.03769018267 0.0312358278015
2.5e-05 1.03925981576 0.0337726958922
2.6e-05 1.04082935198 0.0364075243952
2.7e-05 1.04239878746 0.039140108928
2.8e-05 1.04396811832 0.0419702355319
2.9e-05 1.04553734069 0.0448976807025
3e-05 1.04710645071 0.0479222114212
3.1e-05 1.0486754445 0.0510435851876
3.2e-05 1.05024431818 0.0542615500529
3.3e-05 1.05181306789 0.0575758446539
3.4e-05 1.05338168976 0.0609861982484
3.5e-05 1.05495017991 0.0644923307513
3.6e-05 1.05651853448 0.0680939527712
3.7e-05 1.0580867496 0.0717907656486
3.8e-05 1.05965482139 0.0755824614944
3.9e-05 1.06122274599 0.0794687232295
4e-05 1.06279051953 0.0834492246256
4.1e-05 1.06435813814 0.0875236303461
4.2e-05 1.06592559795 0.0916915959887
4.3e-05 1.0674928951 0.0959527681285
4.4e-05 1.06906002571 0.100306784361
4.5e-05 1.07062698593 0.10475327335
4.6e-05 1.07219377188 0.109291854868
4.7e-05 1.0737603797 0.113922139847
4.8e-05 1.07532680553 0.118643730425
4.9e-05 1.07689304549 0.123456219993
5e-05 1.07845909573 0.128359193246
5.1e-05 1.08002495237 0.13335222623
5.2e-05 1.08159061157 0.138434886394
5.3e-05 1.08315606944 0.143606732643
5.4e-05 1.08472132214 0.148867315387
5.5e-05 1.0862863658 0.154216176598
5.6e-05 1.08785119655 0.159652849859
5.7e-05 1.08941581054 0.165176860425
5.8e-05 1.0909802039 0.170787725271
5.9e-05 1.09254437278 0.176484953154
6e-05 1.09410831332 0.182268044667
6.1e-05 1.09567202165 0.188136492298
6.2e-05 1.09723549392 0.194089780487
6.3e-05 1.09879872627 0.200127385686
6.4e-05 1.10036171485 0.206248776421
6.5e-05 1.1019244558 0.212453413348
6.6e-05 1.10348694525 0.21874074932
6.7e-05 1.10504917936 0.225110229443
6.8e-05 1.10661115428 0.231561291144
6.9e-05 1.10817286614 0.238093364232
7e-05 1.10973431109 0.244705870963
7.1e-05 1.11129548529 0.251398226104
7.2e-05 1.11285638487 0.258169836999
7.3e-05 1.114417006 0.265020103638
7.4e-05 1.11597734481 0.271948418717
7.5e-05 1.11753739746 0.278954167714
7.6e-05 1.11909716009 0.286036728951
7.7e-05 1.12065662887 0.293195473667
7.8e-05 1.12221579994 0.300429766083
7.9e-05 1.12377466945 0.307738963478
8e-05 1.12533323356 0.315122416254
8.1e-05 1.12689148843 0.322579468012
8.2e-05 1.1284494302 0.330109455621
8.3e-05 1.13000705504 0.337711709292
8.4e-05 1.13156435909 0.345385552652
8.5e-05 1.13312133853 0.353130302814
8.6e-05 1.1346779895 0.360945270458
8.7e-05 1.13623430816 0.368829759899
8.8e-05 1.13779029068 0.376783069166
8.9e-05 1.13934593322 0.384804490079
9e-05 1.14090123194 0.392893308323
9.1e-05 1.14245618299 0.401048803527
9.2e-05 1.14401078255 0.409270249341
9.3e-05 1.14556502678 0.417556913515
9.4e-05 1.14711891184 0.425908057974
9.5e-05 1.1486724339 0.434322938903
9.6e-05 1.15022558912 0.442800806824
9.7e-05 1.15177837368 0.451340906673
9.8e-05 1.15333078374 0.459942477888
9.9e-05 1.15488281547 0.468604754483
0.0001 1.15643446504 0.477326965132
0.000101 1.15798572863 0.486108333253
0.000102 1.1595366024 0.494948077088
0.000103 1.16108708253 0.503845409788
0.000104 1.16263716519 0.512799539495
0.000105 1.16418684657 0.521809669424
0.000106 1.16573612283 0.530874997951
0.000107 1.16728499015 0.539994718697
0.000108 1.16883344471 0.549168020608
0.000109 1.1703814827 0.558394088048
0.00011 1.17192910028 0.567672100877
0.000111 1.17347629365 0.577001234545
0.000112 1.17502305898 0.586380660171
0.000113 1.17656939245 0.595809544634
0.000114 1.17811529026 0.605287050661
0.000115 1.17966074859 0.61481233691
0.000116 1.18120576363 0.624384558062
0.000117 1.18275033155 0.634002864907
0.000118 1.18429444856 0.643666404434
0.000119 1.18583811084 0.653374319917
0.00012 1.18738131459 0.663125751006
0.000121 1.18892405598 0.672919833817
0.000122 1.19046633123 0.682755701018
0.000123 1.19200813652 0.692632481924
0.000124 1.19354946805 0.702549302582
0.000125 1.19509032202 0.712505285864
0.000126 1.19663069462 0.722499551555
0.000127 1.19817058205 0.732531216449
0.000128 1.19970998051 0.742599394432
0.000129 1.20124888622 0.752703196582
0.00013 1.20278729536 0.76284173125
0.000131 1.20432520414 0.773014104164
0.000132 1.20586260877 0.783219418507
0.000133 1.20739950545 0.79345677502
0.000134 1.2089358904 0.803725272088
0.000135 1.21047175982 0.814024005834
